variant,space,outlier_cont,alg,k,n_core,sil,dbi,ch,ARI_vs_quality,NMI_vs_quality,AMI_vs_quality,stab_seed_ARI,stab_subsample_ARI,min_cluster_size
no_moisture,PCA,0.0,ward,6,384,0.1549510651885788,1.7645372702384405,61.03656172847769,0.12225005245434033,0.08401484617812291,0.07259942416168391,,,22
no_moisture,PCA,0.0,ward,7,384,0.13409249870633003,1.795483844809257,57.362811858815355,0.12614011858327884,0.07957371908956921,0.06665700058497154,,,22
no_moisture,PCA,0.0,ward,8,384,0.12271767054755045,1.8177562084015835,53.55850625453282,0.06516500025354906,0.08741707046917199,0.0734839379887092,,,22
no_moisture,PCA,0.0,ward,9,384,0.1316206914912574,1.6957823489778585,50.91665899302072,0.06591199382172272,0.09208478564174166,0.07641223150186544,,,6
no_moisture,PCA,0.0,ward,10,384,0.1005939360878944,1.7019827944467167,48.394379372206295,0.039858103944350846,0.08919543158556488,0.07263532888454818,,,6
no_moisture,PCA,0.05,kmeans,2,364,0.292676463718327,1.4196683875127551,150.98447790904072,0.07861570636503486,0.04594126436559204,0.042138323514912424,1.0,1.0,140
no_moisture,PCA,0.05,kmeans,3,364,0.25162215399992216,1.697926061137257,97.04076316265603,0.09743606807305814,0.05167838951383428,0.044911340861596066,0.6846673708880422,0.6735026934730225,40
no_moisture,PCA,0.05,kmeans,4,364,0.20606813092536544,1.8696479834990185,85.06751727007745,0.09834253183449937,0.06036251917452073,0.052032395718667655,0.6622600835140283,0.6044899359761277,40
no_moisture,PCA,0.05,kmeans,5,364,0.1661094847116967,1.8879962785253857,70.97433244100998,0.04815975049389748,0.04646647672863043,0.03637950033733434,0.5465672371797102,0.5554379999072923,38
no_moisture,PCA,0.05,kmeans,6,364,0.16731552082747053,1.8338757991659769,65.2358931493013,0.05958781083186672,0.05474998745819712,0.042737802638242256,0.4847660500305702,0.5002967217033945,24
no_moisture,PCA,0.05,kmeans,7,364,0.1285763596198264,1.7980366195054376,60.24285773960407,0.031964832844002936,0.053125162069605304,0.03982609655058068,0.4893430964043635,0.46644266631996373,24
no_moisture,PCA,0.05,kmeans,8,364,0.1215247222727308,1.7658416391301617,56.19658779525618,0.05589885863195649,0.06647384361002412,0.05136456287407041,0.5196555429065781,0.4584166080072463,20
no_moisture,PCA,0.05,kmeans,9,364,0.12195967784009218,1.7237897242702533,52.31215713412008,0.056011354172960964,0.06382936509644914,0.046795023837799994,0.5088707114798212,0.44709677368665485,18
no_moisture,PCA,0.05,kmeans,10,364,0.12991924342038588,1.7257926264421823,50.38550783848475,0.047810708958398354,0.05361654729065086,0.03484046640548386,0.5361681034636178,0.43834216645336155,15
no_moisture,PCA,0.05,ward,2,364,0.2883576015454998,1.4351661739190873,147.1221962595726,0.08791505202018743,0.05114681160356102,0.047359590909954404,,,139
no_moisture,PCA,0.05,ward,3,364,0.22734722362581777,1.7147274353320603,97.02303850849822,0.09535728715917455,0.06056002608915761,0.05426878722667062,,,45
